Report_part,dois
Chapter02,10.2111/rem-d-09-00151.1
Chapter02,10.1073/pnas.1607171113
Chapter02,10.1029/2018GL080959
Chapter02,10.1111/gcb.14405
Chapter02,10.1088/1748-9326/11/3/034014
Chapter02,10.1111/gcb.14644
Chapter02,10.1111/conl.12312
Chapter02,10.1038/s41467-017-01535-y
Chapter02,10.1038/s43247-020-00065-8
Chapter02,10.1126/sciadv.1701284
Chapter02,10.1038/s41559-017-0248-x
Chapter02,10.1016/j.ecoleng.2021.106321
Chapter02,10.3390/environments5030042
Chapter02,10.1016/j.baae.2017.04.002
Chapter02,10.4319/lo.2009.54.6_part_2.2283
Chapter02,10.1002/2014gl062308
Chapter02,10.1098/rsos.201847
Chapter02,10.1111/ele.13243
Chapter02,10.1126/science.aaa1668
Chapter02,10.1111/gcb.14618
Chapter02,10.1146/annurev-arplant-042110-103829
Chapter02,10.1111/gcb.15046
Chapter02,10.1111/avsc.12133
Chapter02,10.1111/ele.13576
Chapter02,10.1111/gcb.15118
Chapter02,10.1111/geb.13197
Chapter02,10.1073/pnas.1613625114
Chapter02,10.1038/s41558-019-0458-0
Chapter02,10.1111/gcb.13299
Chapter02,10.1890/14-1528.1
Chapter02,10.1111/gcb.13976
Chapter02,10.1002/2016ef000485
Chapter02,10.1126/science.aac8083
Chapter02,10.1016/j.foreco.2009.09.001
Chapter02,10.1126/science.aat0636
Chapter02,10.1007/s10531-016-1071-4
Chapter02,10.1038/s41467-017-00923-8
Chapter02,10.1029/2007JG000528
Chapter02,10.1098/rspb.2010.2020
Chapter02,10.1126/science.1239401
Chapter02,10.1890/12-2128.1
Chapter02,10.1111/geb.12407
Chapter02,10.1007/s10682-011-9532-4
Chapter02,10.1111/1365-2745.12325
Chapter02,10.1073/pnas.1320585111
Chapter02,10.1126/science.aal4108
Chapter02,10.5194/essd-11-529-2019
Chapter02,10.1111/gcb.14771
Chapter02,10.1111/nph.13477
Chapter02,10.1073/pnas.1525678113
Chapter02,10.1038/s41586-018-0539-7
Chapter02,10.1098/rstb.2017.0411
Chapter02,10.1136/bmj.h3267
Chapter02,10.1002/2014JG002778
Chapter02,10.1111/jeb.13181
Chapter02,10.1890/15-1121
Chapter02,10.1016/S0169-5347(03)00087-9
Chapter02,10.1111/ddi.12635
Chapter02,10.1016/S0031-0182(01)00246-2
Chapter02,10.1002/jqs.879
Chapter02,10.3390/f12060732
Chapter02,10.1590/s0102-311x2001000700022
Chapter02,10.1371/journal.pone.0092538
Chapter02,10.3389/fmars.2019.00499
Chapter02,10.1038/s41467-017-02771-y
Chapter02,10.1111/brv.12088
Chapter02,10.1016/j.flora.2014.06.002
Chapter02,10.1016/j.heliyon.2019.e01339
Chapter02,10.1126/sciadv.aat4858
Chapter02,10.1098/rstb.2015.0346
Chapter02,10.1073/pnas.1211466110
Chapter02,10.1146/annurev-environ-012320-054809
Chapter02,10.1073/pnas.2009584117
Chapter02,10.1038/ngeo2882
Chapter02,10.1002/hyp.10849
Chapter02,10.1038/s41467-018-03838-0
Chapter02,10.1007/s10457-018-0310-y
Chapter02,10.1007/s10393-012-0808-0
Chapter02,10.1111/gcb.13139
Chapter02,10.1139/cjfr-2018-0161
Chapter02,10.1126/sciadv.aat4313
Chapter02,10.1038/nclimate1354
Chapter02,10.1007/s10750-016-2962-9
Chapter02,10.1111/1365-2656.12451
